1;4501;Daniel;Kruger;9.10.1959;Frankfurt;Deutsch;DanielKruger@dayrep.com;07831 68 70 06;SMART;1263;37
2;4502;Stephanie;Lemann;5.8.1990;Mühlhausen;Deutsch;StephanieLemann@jourrapide.com;07832 65 60 20;SMART;9218;65
3;4503;Diana;Wechsler;31.8.1991;Demmin;Deutsch;DianaWechsler@armyspy.com;03998 75 69 80;PLUS;3985;37
4;4504;Sabrina;Frueh;28.4.1996;Gimbweiler;Deutsch;SabrinaFrueh@teleworm.us;06782 36 74 49;SMART;8185;96
5;4505;Phillipp;Vogler;1.1.1962;Tambach-Dietharz;Deutsch;PhillippVogler@teleworm.us;036252 61 68;MAX;7778;14
6;4506;Thạch Thị Gấm;Diên;27.5.1991;Nördlingen;Vietnamesisch;ThachThiGamDien@rhyta.com;09083 99 24 71;SMART;7199;99
7;4507;Carla;Napolitano;20.11.1997;Neutraubling;Italienisch;CarlaNapolitano@rhyta.com;09401 74 09 73;PLUS;8620;10
8;4508;Swen;Baumgartner;25.6.1983;Kiel;Deutsch;SwenBaumgartner@armyspy.com;0431 31 35 80;PLUS;1080;94
9;4509;Petra;Hertz;10.10.1945;Wistedr;Deutsch;PetraHertz@armyspy.com;04182 77 83 27;SMART;7943;81
10;45010;Nicole;Bieber;4.4.1987;Ehingen;Deutsch;NicoleBieber@armyspy.com;08273 56 12 08;SMART;1815;47
11;45011;Delit;Baron;3.3.1992;Rudolstadt;Französisch;DelitBaron@rhyta.com;03672 31 16 08;SMART;5935;13
12;45012;Fanan Daliyah;Kassab;26.12.1977;Immert;Türkisch;FananDaliyahKassab@dayrep.com;06504 29 71 62;SMART;9302;27
13;45013;Fariq Barakah;Totah;18.9.1956;Köln;Tunesisch;FariqBarakahTotah@dayrep.com;0221 30 15 13;MAX;5603;19
14;45014;Zahwah Shawq ;Mustafa;4.7.1959;Amesdorf;Türkisch;ZahwahShawqMustafa@teleworm.us;039262 48 46;SMART;2559;50
15;45015;Patrick;Bader;10.10.1963;München;Deutsch;PBader@rhyta.com;089 27 42 62;PLUS;6465;97
16;45016;Janina;Frankfurter;18.4.1992;Daisendorf;Deutsch;JaninaFrankfurter@armyspy.com;07532 86 16 61;SMART;6848;86
17;45017;Susanne;Eggers;13.3.1968;Rödental;Deutsch;SusanneEggers@dayrep.com;09563 41 91 45;SMART;4123;99
18;45018;Sandra;Schuhmacher;2.1.1983;Erfde;Deutsch;SandraSchuhmacher@jourrapide.com;04333 22 94 12;SMART;4052;8
19;45019;Martin;Blau;28.4.1970;Würzburg;Deutsch;MartinBlau@rhyta.com;0931 15 64 47;SMART;7387;90
20;45020;Christine;Schreiner;22.12.1972;Garching;Deutsch;ChristineSchreiner@teleworm.us;089 10 56 21;SMART;3186;97
21;45021;Stephan;Maier;26.09.1990;Kirchheim;Deutsch;StephanMaier@rhyta.com;0361 40 95 39;SMART;5319;50
